공연시설명,세부공연시설명,좌석수,공연건수,개막편수,상연횟수,총 티켓판매수,시설특성,주소
올림픽공원,우리금융아트홀(역도경기장),1184,10,9,321,118105,공공(기타),서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
올림픽공원,야외(88잔디마당),10000,8,8,18,79307,공공(기타),서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
올림픽공원,뮤즈라이브,237,5,5,227,30026,공공(기타),서울특별시 송파구 올림픽로 424 올림픽공원 (방이동)
예술의전당,오페라극장,2283,20,19,219,332811,국립,서울특별시 서초구 남부순환로 2406 (서초동)
예술의전당,CJ 토월극장,1004,15,15,254,137462,국립,서울특별시 서초구 남부순환로 2406 (서초동)
예술의전당,자유소극장,241,20,19,273,47815,국립,서울특별시 서초구 남부순환로 2406 (서초동)
잠실종합운동장,주경기장,65599,8,8,15,444586,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동)
잠실종합운동장,빅탑,2400,1,1,95,167943,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동)
잠실종합운동장,실내체육관,11032,13,13,32,141314,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동)
잠실종합운동장,FB빅탑시어터,500,1,1,141,48504,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동)
잠실종합운동장,보조경기장,1782,1,1,3,5403,공공(기타),서울특별시 송파구 올림픽로 25 (잠실동)
세종문화회관,세종예술아카데미(스퀘어홀),94,1,1,8,61,공공(문예회관),서울특별시 종로구 세종대로 175 (세종로)
블루스퀘어,신한카드홀(구. 인터파크홀),1766,5,4,374,458621,민간(대학로 외),서울특별시 용산구 이태원로 294 (한남동)
블루스퀘어,카오스홀,266,1,1,87,3603,민간(대학로 외),서울특별시 용산구 이태원로 294 (한남동)
충무아트센터,대공연장,1255,6,5,349,295803,공공(문예회관),서울특별시 중구 퇴계로 387 (흥인동)
충무아트센터,중극장 블랙,325,6,5,353,57118,공공(문예회관),서울특별시 중구 퇴계로 387 (흥인동)
충무아트센터,컨벤션센터,200,11,11,25,2479,공공(문예회관),서울특별시 중구 퇴계로 387 (흥인동)
충무아트센터,소극장 블루,218,1,1,2,415,공공(문예회관),서울특별시 중구 퇴계로 387 (흥인동)
샤롯데씨어터,합계,1230,5,4,347,321828,민간(대학로 외),서울특별시 송파구 올림픽로 240 (잠실동)
봄날아트홀(구. 아리랑소극장),2관(지하2층),129,4,2,660,295808,민간(대학로),서울특별시 종로구 동숭길 39 (동숭동)
봄날아트홀(구. 아리랑소극장),1관(지하1층),123,2,1,393,17464,민간(대학로),서울특별시 종로구 동숭길 39 (동숭동)
봄날아트홀(구. 아리랑소극장),합계,252,6,3,1053,313272,민간(대학로),서울특별시 종로구 동숭길 39 (동숭동)
대학로 드림아트센터,1관,352,5,4,441,108478,민간(대학로),서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터
대학로 드림아트센터,2관 더블케이씨어터,210,7,6,404,58086,민간(대학로),서울특별시 종로구 동숭길 123 (동숭동) 드림아트센터
