,시설명,공연장수,총객석수,공연장명,객석수,시설특성,개관연도,지역,Unnamed: 8,구,Latitude,Longitude
605,더스크블루,1,0,더스크블루,0,기타(비공연장),0,서울,영등포구,서울특별시 영등포구 당산로38길 10(당산동4가),37.5285223,126.903646
607,더스튜디오HBC (The Studio HBC),1,0,더스튜디오HBC (The Studio HBC),0,민간(대학로 외),0,서울,용산구,서울특별시 용산구 신흥로7길 1 (용산동2가),37.5419221,126.9871708
608,더케이아트홀,1,998,더케이아트홀,998,민간(대학로 외),1991,서울,서초구,서울특별시 서초구 바우뫼로12길 70 (양재동),37.4667729,127.0328158
609,더켠 소극장,1,64,더켠 소극장,64,민간(대학로 외),2015,서울,강북구,서울특별시 강북구 도봉로13가길 6 (미아동),37.6148221,127.0291151
615,덜위치 칼리지 서울 영국학교,1,300,덜위치 칼리지 서울 영국학교,300,기타(비공연장),2010,서울,서초구,서울특별시 서초구 신반포로15길 6 (반포동),37.504172,126.9954215
616,도곡 율하우스,1,0,도곡 율하우스,0,민간(대학로 외),0,서울,강남구,서울특별시 강남구 논현로26길 46-6 (도곡동),37.487246,127.0421157
617,도곡2문화센터,1,143,오유아트홀,143,공공(기타),2010,서울,강남구,서울특별시 강남구 남부순환로378길 34-9 (도곡동),37.4880608,127.0433376
618,도봉구민회관,2,742,"대강당(하모니홀)
소공연장","552
190",공공(문예회관),1993,서울,도봉구,서울특별시 도봉구 도봉로 552 (창동),37.6541023,127.0386268
619,도토리씨어터,2,232,"핫식스 1관
너목들 2관","126
106",민간(대학로),0,서울,종로구,서울특별시 종로구 대학로12길 63(동숭동),37.5812351,127.0040242
622,동광교회,1,0,공연장,0,기타(비공연장),0,서울,동작구,서울특별시 동작구 성대로1길 26(상도동),37.5018632,126.9348942
625,동국대학교,1,302,이해랑예술극장,302,민간(대학로 외),2008,서울,중구,서울특별시 중구 필동로1길 30 (필동3가),37.5592871,126.9985627
626,동네극장,1,0,동네극장,0,민간(대학로 외),0,서울,동대문구,서울특별시 동대문구 안암로6길 19(용두동),37.579172,127.0259363
627,동대문구민회관,1,548,대강당,548,공공(기타),1989,서울,동대문구,서울특별시 동대문구 장한로18길 82-9 (장안동),37.5672369,127.0733404
628,동대문구체육관,1,1500,동대문구체육관,1500,공공(기타),0,서울,동대문구,서울특별시 동대문구 답십리로 210-3 (답십리동),37.5722796,127.0639582
629,동덕여대공연예술센터,1,430,코튼홀,430,민간(대학로),2001,서울,종로구,서울특별시 종로구 동숭길 126 (동숭동),37.5837306,127.0033198
630,동덕여자대학교 백주년기념관,1,650,동덕여자대학교 백주년기념관,650,민간(대학로 외),0,서울,성북구,서울특별시 성북구 화랑로13길 60 (하월곡동),37.6045357,127.0376377
639,동서울아트홀,1,234,동서울아트홀,234,민간(대학로 외),2012,서울,광진구,서울특별시 광진구 구의강변로 38 (구의동),37.5341664,127.0918876
