공연시설명,세부공연시설명,좌석수,공연건수,개막편수,상연횟수,총 티켓판매수,시설특성,주소,Latitude,Longitude
맛있는 극장,합계,90,1,0,529,6331,민간(대학로),서울특별시 종로구 혜화로 4 (혜화동),37.5862367,127.0007573
해바라기소극장(구. 훈아트홀),합계,61,1,0,478,6042,민간(대학로),서울특별시 종로구 동숭길 76 (동숭동),37.5816496,127.0042682
SH아트홀,합계,262,4,4,216,5908,민간(대학로),서울특별시 종로구 동숭길 25 (동숭동),37.5799187,127.0035083
은평문화예술회관,공연장,701,17,17,44,5806,공공(문예회관),서울특별시 은평구 녹번로 16 (녹번동),37.6039156,126.9283637
은평문화예술회관,숲속극장,350,1,1,2,3,공공(문예회관),서울특별시 은평구 녹번로 16 (녹번동),37.6039156,126.9283637
은평문화예술회관,합계,1051,18,18,46,5809,공공(문예회관),서울특별시 은평구 녹번로 16 (녹번동),37.6039156,126.9283637
제이엘 씨어터,합계,130,2,2,173,5716,민간(대학로 외),서울특별시 마포구 어울마당로 94-8(서교동),37.5531143,126.9221592
노원구민의전당(구. 노원구민회관),합계,679,17,17,50,5657,공공(기타),서울특별시 노원구 동일로 1229 (중계동),37.6510125,127.0799977
더 씨어터,합계,96,6,6,99,5653,민간(대학로),서울특별시 종로구 대학로3길 10 (효제동) 고운빌딩,37.5740065,127.0016615
예림당아트홀,합계,468,6,5,54,5543,민간(대학로 외),서울특별시 강남구 언주로 337 (역삼동),37.5000776,127.0385419
지인시어터(구. 알과핵소극장),합계,176,12,12,164,5486,민간(대학로),서울특별시 종로구 동숭길 25 (동숭동),37.5799187,127.0035083
굿씨어터,합계,369,9,9,25,5367,민간(대학로),서울특별시 종로구 대학로 144 (혜화동),37.5839645,127.002167
영등포아트홀,합계,526,13,13,30,5206,공공(문예회관),서울특별시 영등포구 국회대로 596 (당산동3가),37.5258617,126.8971134
민송아트홀 (구. 브로드웨이아트홀),2관,194,14,14,84,1483,민간(대학로),서울특별시 종로구 대학로 144 (혜화동) 중원빌딩 6층,37.5839645,127.002167
흰물결아트센터,화이트홀,475,6,6,22,5127,민간(대학로 외),서울특별시 서초구 반포대로 150 (서초동),37.4934292,127.0072492
흰물결아트센터,합계,975,6,6,22,5127,민간(대학로 외),서울특별시 서초구 반포대로 150 (서초동),37.4934292,127.0072492
소극장 창덕궁,합계,80,13,11,168,5092,민간(대학로 외),서울특별시 종로구 창경궁로 227(명륜4가),37.5822319,126.9998819
건국대학교 새천년관,합계,805,12,12,15,5060,민간(대학로 외),서울특별시 광진구 능동로 120 (화양동) 건국대학교,37.5407625,127.0793428
강동구민회관,합계,608,8,8,23,4937,공공(기타),서울특별시 강동구 상암로 168 (천호동) 강동구민회관,37.5457299,127.1412042
오류아트홀,합계,365,12,12,26,4847,공공(기타),서울특별시 구로구 경인로20가길 38 (오류동),37.4957808,126.8473739
북촌나래홀,합계,160,3,0,303,4826,민간(대학로 외),서울특별시 종로구 창덕궁길 29 - 38,37.5788491,126.9884476
산울림소극장,합계,100,19,18,169,4774,민간(대학로 외),서울특별시 마포구 와우산로 157 (서교동),37.5550758,126.930102
아트하우스,합계,207,4,4,213,4581,민간(대학로),서울특별시 종로구 대학로10길 26(동숭동),37.5830555,127.004009
갈산문화예술센터,아이누리홀,200,7,7,50,4082,공공(문예회관),서울특별시 양천구 목동남로 106(신정동),37.5107579,126.8701549
갈산문화예술센터,아트홀,99,3,3,3,90,공공(문예회관),서울특별시 양천구 목동남로 106(신정동),37.5107579,126.8701549
갈산문화예술센터,합계,299,10,10,53,4172,공공(문예회관),서울특별시 양천구 목동남로 106(신정동),37.5107579,126.8701549
연우소극장,합계,80,16,15,188,4138,민간(대학로),서울특별시 종로구 창경궁로35길 21 (혜화동),37.5869556,127.0018827
에이치씨어터,합계,180,1,0,297,4085,민간(대학로),서울특별시 종로구 이화장길 54 (이화동),37.577632,127.0047108
명작극장 (구 아츠플레이씨어터),명작극장 (구 아츠플레이씨어터),173,8,3,317,3990,민간(대학로),서울특별시 종로구 대학로8가길 30 (동숭동),37.5822932,127.0025237
명작극장 (구 아츠플레이씨어터),명작극장(구. 명작극장 2관),203,2,2,20,71,민간(대학로),서울특별시 종로구 대학로8가길 30 (동숭동),37.5822932,127.0025237
명작극장 (구 아츠플레이씨어터),합계,376,10,5,337,4061,민간(대학로),서울특별시 종로구 대학로8가길 30 (동숭동),37.5822932,127.0025237
R&J씨어터(구. 연진아트홀),합계,130,15,15,305,4038,민간(대학로),서울특별시 종로구 낙산길 14 (동숭동),37.5803585,127.005287
중랑구민회관,대공연장,494,9,9,26,4022,공공(기타),서울특별시 중랑구 면목로 238 (면목동),37.5737227,127.0847565
중랑구민회관,합계,614,9,9,26,4022,공공(기타),서울특별시 중랑구 면목로 238 (면목동),37.5737227,127.0847565
"시온아트홀 (구. JK아트홀, 샘아트홀)",합계,134,18,18,200,3563,민간(대학로),서울특별시 종로구 대학로8가길 52 (동숭동),37.5830042,127.0026459
경복궁아트홀,합계,180,7,6,97,3435,민간(대학로 외),서울특별시 종로구 자하문로 82 (효자동),37.5833524,126.9706979
코델아트홀,합계,120,18,18,215,3255,민간(대학로),서울특별시 종로구 동숭길 78 (동숭동) 지하1층,37.5817566,127.0042887
한국가곡예술마을 나음아트홀,합계,120,3,2,237,2950,민간(대학로 외),서울특별시 강남구 논현로10길 28 (개포동),37.4748778,127.0508164
해오름 예술극장,합계,170,6,5,168,2949,민간(대학로),서울특별시 종로구 창경궁로 260 (명륜2가),37.5846997,126.9990412
꿈나무극장,합계,153,9,9,25,2894,공공(기타),서울특별시 구로구 구로동로26길 54 (구로동),37.4897196,126.8865539
상명아트센터,계당홀,1464,6,6,8,2832,민간(대학로 외),서울특별시 종로구 홍지문2길 20 (홍지동),37.602823,126.9550432
상명아트센터,대신홀,317,1,1,1,2,민간(대학로 외),서울특별시 종로구 홍지문2길 20 (홍지동),37.602823,126.9550432
상명아트센터,합계,1781,7,7,9,2834,민간(대학로 외),서울특별시 종로구 홍지문2길 20 (홍지동),37.602823,126.9550432
이화여자대학교 대강당,합계,2900,1,1,1,2784,민간(대학로 외),서울특별시 서대문구 이화여대길 52 (대현동),37.5625607,126.9474535
대학로스타시티,합계,494,1,1,103,2664,민간(대학로),서울특별시 종로구 대학로11길 23 (명륜4가),37.5828114,127.0013435
목동 아이스링크,합계,5000,1,1,2,2624,공공(기타),서울특별시 양천구 안양천 939 (목1동),37.5270981,126.8738365
강북문화예술회관,합계,668,7,7,21,2565,공공(문예회관),서울특별시 강북구 삼각산로 85 (수유동),37.6407905,127.0134278
강서구민회관,우장홀,609,5,5,15,2560,공공(문예회관),서울특별시 강서구 우장산로 66 (내발산동),37.5519333,126.8416092
강서구민회관,합계,694,5,5,15,2560,공공(문예회관),서울특별시 강서구 우장산로 66 (내발산동),37.5519333,126.8416092
강남씨어터,합계,232,16,16,24,2506,공공(기타),서울특별시 강남구 역삼로7길 16 (역삼동),37.4953545,127.0332497
스타스테이지,합계,200,8,8,175,2461,민간(대학로),서울특별시 종로구 대학로12길 15(동숭동),37.5830537,127.0044298
북극곰소극장(구.아뮤스소극장),합계,37,2,0,351,2036,민간(대학로),서울특별시 종로구 이화장1길 24 (이화동),37.5773844,127.0057301
소극장 무극,합계,80,10,10,112,2036,민간(대학로),서울특별시 종로구 대학로9길 18(명륜4가),37.5832347,127.0014444
