,공연시설명,세부공연시설명,좌석수,공연건수,개막편수,상연횟수,총 티켓판매수,시설특성,주소
1729,소셜베뉴 라움,마제스틱볼룸,828,5,5,5,102,민간(대학로 외),서울특별시 강남구 언주로 564 (역삼동) 라움아트센터
1730,소셜베뉴 라움,그라스가든,350,0,0,0,0,민간(대학로 외),서울특별시 강남구 언주로 564 (역삼동) 라움아트센터
1731,소셜베뉴 라움,합계,1562,8,7,20,205,민간(대학로 외),서울특별시 강남구 언주로 564 (역삼동) 라움아트센터
1735,M극장,합계,150,1,1,4,201,민간(대학로 외),서울특별시 강남구 논현로4길 36 (개포동)
1745,앤트러사이트 [합정],합계,0,1,1,2,195,기타(비공연장),서울특별시 마포구 토정로5길 10 (합정동)
1746,아이러브아트홀,합계,80,4,4,4,192,민간(대학로 외),서울특별시 강남구 압구정로32길 30 (신사동)
1747,홍대우주정거장,합계,0,12,12,12,191,기타(비공연장),서울특별시 마포구 와우산로29길 16(서교동)
1750,숨 아트리움,합계,0,3,3,3,183,민간(대학로 외),서울특별시 광진구 능동로 442(중곡동)
1751,대교타워 아이레벨홀,합계,274,1,1,2,181,민간(대학로 외),서울특별시 관악구 보라매로3길 23 (봉천동)
1753,음악공간 중력장,합계,0,20,20,27,180,민간(대학로 외),서울특별시 동작구 현충로 104(흑석동)
1761,H-스테이지,합계,0,3,3,3,174,민간(대학로 외),서울특별시 마포구 와우산로 97(서교동)
1762,콜링아트센터,합계,0,4,4,5,174,기타(비공연장),서울특별시 관악구 관악로14길 110 (봉천동)
1764,공간 222,합계,33,5,4,29,168,민간(대학로 외),서울특별시 성북구 동소문로 24 (동소문동2가)
1765,후케즈,합계,140,8,8,8,166,민간(대학로 외),서울특별시 영등포구 경인로 715(문래동2가)
1774,이태원 해밀톤 호텔,이태원 해밀톤 호텔,0,1,0,6,151,민간(대학로 외),서울특별시 용산구 이태원로 179(이태원동)
1775,이태원 해밀톤 호텔,B1 라운지클럽,0,0,0,0,0,민간(대학로 외),서울특별시 용산구 이태원로 179(이태원동)
1776,이태원 해밀톤 호텔,합계,0,1,0,6,151,민간(대학로 외),서울특별시 용산구 이태원로 179(이태원동)
