,시설명,공연장수,총객석수,공연장명,객석수,시설특성,개관연도,지역,Unnamed: 8,주소
1385,엔터식스 메두사 아트홀,3.0,560.0,"1홀
2홀
3홀","260
180
120",민간(대학로 외),2014.0,서울,성동구,"서울특별시 성동구 왕십리로 241 (행당동, 서울숲 더샵)"
1386,엔플러그,1.0,30.0,엔플러그,30,민간(대학로 외),0.0,서울,강남구,서울특별시 강남구 봉은사로55길 20 (삼성동) 
1387,엘리에나 호텔,1.0,0.0,컨벤션홀,0,기타(비공연장),0.0,서울,강남구,서울특별시 강남구 논현로 645(논현동)
1388,엘리펀트스페이스,1.0,40.0,엘리펀트스페이스,40,민간(대학로 외),2018.0,서울,마포구,서울특별시 마포구 성미산로29길 30 (연남동)
1393,엠스테이지(구.인사아트홀),1.0,176.0,엠스테이지(구.인사아트홀),176,민간(대학로 외),2017.0,서울,종로구,서울특별시 종로구 인사동길 34-1 (관훈동)
1395,엠팟홀 (구. 삼익아트홀),2.0,150.0,"엠팟홀 (구. 삼익아트홀)
옥상정원 (8층)","150
0",민간(대학로 외),1995.0,서울,강남구,서울특별시 강남구 학동로 171 (논현동) 삼익악기빌딩 3층
1401,여의도 이랜드크루즈 제1터미널,1.0,20.0,여의도 이랜드크루즈 제1터미널,20,민간(대학로 외),1986.0,서울,영등포구,서울특별시 영등포구 여의동로 290 (여의도동)
1402,여의도 한강공원,1.0,0.0,여의도 한강공원,0,기타(비공연장),0.0,서울,영등포구,서울특별시 영등포구 여의동로 330 (여의도동)
1403,여의도 한강공원 멀티플라자 그랑샤피토,1.0,500.0,여의도 한강공원 멀티플라자 그랑샤피토,500,공공(기타),0.0,서울,영등포구,서울특별시 영등포구 여의동로 330 (여의도동)
1406,여행자극장,1.0,100.0,여행자극장,100,민간(대학로),2016.0,서울,성북구,서울특별시 성북구 성북로5길 9-3 (성북동1가)
1407,역삼1동문화센터,1.0,230.0,가족극장,230,공공(기타),2013.0,서울,강남구,서울특별시 강남구 역삼로7길 16 (역삼동)
1408,연극실험실 일상지하,1.0,50.0,연극실험실 일상지하,50,민간(대학로 외),2010.0,서울,성북구,서울특별시 성북구 성북로 106 (성북동)
1409,연극실험실 혜화동1번지,1.0,70.0,연극실험실 혜화동1번지,70,민간(대학로),1993.0,서울,종로구,서울특별시 종로구 창경궁로35길 7 (혜화동)
1410,연극플레이스 혜화,1.0,0.0,연극플레이스 혜화,0,민간(대학로),0.0,서울,종로구,서울특별시 종로구 대학로8가길 111(동숭동)
1411,연남5701,1.0,0.0,연남5701,0,민간(대학로 외),2021.0,서울,마포구,서울특별시 마포구 동교로23길 64 (연남동)
1412,연남스페이스,1.0,0.0,연남스페이스,0,민간(대학로 외),0.0,서울,마포구,서울특별시 마포구 성미산로22길 16(연남동)
1413,연동교회,1.0,0.0,연동교회,0,기타(비공연장),0.0,서울,종로구,서울특별시 종로구 김상옥로 37 (연지동)
1415,연세대학교 대강당,1.0,1641.0,연세대학교 대강당,1641,민간(대학로 외),1958.0,서울,서대문구,서울특별시 서대문구 연세로 50 (신촌동)
1416,연세대학교 루스채플,1.0,252.0,연세대학교 루스채플,252,민간(대학로 외),1974.0,서울,서대문구,서울특별시 서대문구 연세로 50 (신촌동)
1417,연세대학교 무악극장,1.0,0.0,연세대학교 무악극장,0,민간(대학로 외),0.0,서울,서대문구,서울특별시 서대문구 연세로 50-1(신촌동)
1418,연세대학교 백주년기념관,1.0,829.0,연세대학교 백주년기념관,829,민간(대학로 외),1988.0,서울,서대문구,서울특별시 서대문구 연세로 50 (신촌동)
