분류명,공간명(한글),공간명(영어),개관년도,지역,우편번호,주소,Latitude,Longitude
공연연습실(대학로),호암아트홀,,    ,중구   ,100-759,서울시 중구 서소문로 88,37.5616033,126.97108
공연장,호은아트홀,,    ,종로구  ,       ,서울시 종로구 동숭동 1-150 연극극장,37.5801091,127.0042689
공연장,홍대 고스트 씨어터,Ghost Theater,2007,마포구  ,       ,서울시 마포구 서교동 356-1 지하 2~3층,37.5544355,126.922117
공연장,홍대 비보이 전용극장,B-boy,2005,마포구  ,       ,서울시 마포구 서교동 338-8번지 삼진제약빌딩 4층 SJ비보이즈,37.553552,126.9267194
공연장,홍대 포스트극장,hongik post theater,2013,마포구  ,       ,서울시 마포구 창전동 5-92,37.5541301,126.9296749
공연장,홍사소극장,Hong saa Theater,2003,종로구  ,       ,서울시 종로구 혜화동 64-1번지 홍사소극장,37.586598,127.0017972
도서관,홍은도담도서관,,    ,서대문구 ,120-842,서울시 서대문구 홍은중앙로 129,37.6017549,126.9490409
복지관,홍은종합사회복지관,,    ,서대문구 ,120-101,서울시 서대문구 세검정로 1길 116,37.5954015,126.9464398
청소년수련관,홍은청소년문화의집,,    ,서대문구 ,120-841,서울시 서대문구 포방터길 110,37.6016103,126.9499188
공연장,홍익대 대학로 아트센터 대극장,,2013,종로구  ,       ,서울시 종로구 연건동 128-8 홍익대 대학로 아트센터,37.5765378,127.0014599
공연장,홍익대 대학로 아트센터 소극장,,2013,종로구  ,       ,서울시 종로구 연건동 128-8 홍익대 대학로 아트센터,37.5765378,127.0014599
청소년수련관,화곡청소년수련관,,    ,강서구  ,157-898,서울시 강서구 곰달래로 57가길 26,37.5345612,126.8607912
도서관,화랑도서관  ,,    ,노원구  ,139-800,서울시 노원구 노원로 1-나길 10,37.6215868,127.0830663
복지관,화원종합사회복지관,,    ,구로구  ,152-858,서울시 구로구 벚꽃로 484,37.4973397,126.8801476
미술관,환기미술관,,    ,종로구  ,110-817,서울시 종로구 자하문로 40길 63,37.5943015,126.9662652
공연장,환상극장,,    ,종로구  ,       ,서울시 종로구 동숭동 199-33번지 지하1층,37.5785059,127.0046483
공연장,효천아트센터 그라운드 씬,Ground - SYN,2010,종로구  ,       ,서울시 종로구 명륜1가 5번지,37.5899794,126.9982918
공연장,흰물결 화이트홀,white hall,    ,     ,       ,,,
